"VIV_SEL","TLOC","REGION","EST_DIS","UPM_DIS","P1_1","P1_2","FAC_VIV","UPM"
4,1,1,10,109,2,1,2862,206161
5,1,1,10,109,5,1,2862,206161
1,1,1,8,110,3,1,2722,206341
2,1,1,8,110,2,1,2722,206341
3,1,1,8,110,2,1,2722,206341
4,1,1,8,110,5,1,2722,206341
5,1,1,8,110,5,1,2722,206341
1,1,1,9,111,1,1,2819,206343
2,1,1,9,111,2,1,2819,206343
3,1,1,9,111,3,1,2819,206343
4,1,1,9,111,1,1,2819,206343
5,1,1,9,111,5,1,2819,206343
2,1,1,10,112,4,1,2509,206501
3,1,1,10,112,2,1,2509,206501
4,1,1,10,112,5,1,2509,206501
1,1,1,10,113,3,1,2994,206561
2,1,1,10,113,4,1,2994,206561
3,1,1,10,113,5,1,2994,206561
4,1,1,10,113,4,1,2994,206561
5,1,1,10,113,4,1,2994,206561
3,1,1,10,114,4,1,3188,206641
1,1,1,9,115,1,1,2545,206656
2,1,1,9,115,4,1,2545,206656
3,1,1,9,115,4,1,2545,206656
4,1,1,9,115,4,1,2545,206656
1,1,1,10,116,4,1,2930,206684
2,1,1,10,116,3,1,2930,206684
3,1,1,10,116,6,1,2930,206684
4,1,1,10,116,3,1,2930,206684
1,1,1,9,117,5,1,2356,206690
2,1,1,9,117,4,1,2356,206690
3,1,1,9,117,7,1,2356,206690
4,1,1,9,117,5,1,2356,206690
5,1,1,9,117,4,1,2356,206690
1,1,1,8,118,1,1,2303,206713
2,1,1,8,118,3,1,2303,206713
3,1,1,8,118,7,1,2303,206713
4,1,1,8,118,4,1,2303,206713
5,1,1,8,118,8,1,2303,206713
2,1,1,10,119,2,1,3079,206871
3,1,1,10,119,5,1,3079,206871
4,1,1,10,119,7,1,3079,206871
5,1,1,10,119,2,1,3079,206871
1,2,1,6,120,5,1,6464,207074
2,2,1,6,120,1,1,6464,207074
4,2,1,6,120,1,1,6464,207074
5,2,1,6,120,3,1,6464,207074
6,2,1,6,120,1,1,6464,207074
7,2,1,6,120,4,1,6464,207074
8,2,1,6,120,2,1,6464,207074
10,2,1,6,120,2,1,6464,207074
11,2,1,6,120,2,1,6464,207074
12,2,1,6,120,3,1,6464,207074
14,2,1,6,120,4,1,6464,207074
15,2,1,6,120,3,1,6464,207074
16,2,1,6,120,1,1,6464,207074
17,2,1,6,120,5,1,6464,207074
18,2,1,6,120,4,1,6464,207074
19,2,1,6,120,5,1,6464,207074
1,2,1,8,121,3,1,4014,207283
2,2,1,8,121,5,1,4014,207283
3,2,1,8,121,5,1,4014,207283
4,2,1,8,121,5,1,4014,207283
5,2,1,8,121,3,1,4014,207283
1,2,1,10,122,3,1,4553,207496
2,2,1,10,122,1,1,4553,207496
3,2,1,10,122,4,1,4553,207496
4,2,1,10,122,4,1,4553,207496
5,2,1,10,122,5,1,4553,207496
1,3,1,6,123,4,1,1948,207914
2,3,1,6,123,1,1,1948,207914
3,3,1,6,123,4,1,1948,207914
4,3,1,6,123,3,1,1948,207914
5,3,1,6,123,3,1,1948,207914
6,3,1,6,123,4,1,1948,207914
7,3,1,6,123,3,1,1948,207914
8,3,1,6,123,4,1,1948,207914
9,3,1,6,123,1,1,1948,207914
10,3,1,6,123,6,1,1948,207914
11,3,1,6,123,8,1,1948,207914
13,3,1,6,123,4,1,1948,207914
14,3,1,6,123,2,1,1948,207914
15,3,1,6,123,8,1,1948,207914
16,3,1,6,123,4,1,1948,207914
17,3,1,6,123,2,1,1948,207914
18,3,1,6,123,5,1,1948,207914
19,3,1,6,123,3,1,1948,207914
20,3,1,6,123,3,1,1948,207914
2,3,1,6,124,5,1,1919,208036
4,3,1,6,124,6,1,1919,208036
5,3,1,6,124,4,1,1919,208036
6,3,1,6,124,4,1,1919,208036
7,3,1,6,124,4,1,1919,208036
8,3,1,6,124,7,1,1919,208036
9,3,1,6,124,5,1,1919,208036
