UPM,VIV_SEL,HOGAR,N_REN,SEXO,EDAD,REGION,TLOC,EST_DIS,UPM_DIS,FAC_HOG
101215,2,1,3,1,4,3,1,4,33,1130
101215,2,1,4,2,0,3,1,4,33,1130
101215,3,1,1,1,25,3,1,4,33,1130
101215,3,1,2,2,25,3,1,4,33,1130
101215,3,1,3,2,5,3,1,4,33,1130
101215,3,1,4,1,3,3,1,4,33,1130
101215,4,1,1,2,51,3,1,4,33,1130
101215,4,1,2,1,26,3,1,4,33,1130
101215,4,1,3,1,13,3,1,4,33,1130
101215,4,1,4,1,9,3,1,4,33,1130
101215,5,1,1,1,52,3,1,4,33,1130
101215,5,1,2,2,50,3,1,4,33,1130
101215,5,1,3,2,25,3,1,4,33,1130
101215,5,1,4,1,11,3,1,4,33,1130
101223,1,1,1,1,54,3,1,4,34,1108
101223,1,1,2,2,28,3,1,4,34,1108
101223,1,1,3,2,67,3,1,4,34,1108
101223,2,1,1,1,39,3,1,4,34,1108
101223,2,1,2,2,42,3,1,4,34,1108
101223,2,1,3,1,22,3,1,4,34,1108
101223,2,1,4,1,17,3,1,4,34,1108
101223,2,1,5,2,13,3,1,4,34,1108
101223,3,1,1,1,43,3,1,4,34,1108
101223,3,1,2,2,40,3,1,4,34,1108
101223,3,1,3,2,14,3,1,4,34,1108
101223,3,1,4,1,11,3,1,4,34,1108
101223,4,1,1,1,81,3,1,4,34,1108
101223,4,1,2,2,77,3,1,4,34,1108
101223,4,1,3,2,34,3,1,4,34,1108
101223,4,1,4,1,13,3,1,4,34,1108
101223,5,1,1,1,36,3,1,4,34,1108
101223,5,1,2,2,34,3,1,4,34,1108
101223,5,1,3,2,11,3,1,4,34,1108
101223,5,1,4,2,3,3,1,4,34,1108
101513,1,1,1,2,56,3,1,3,35,1263
101513,1,1,2,2,31,3,1,3,35,1263
101513,1,1,3,2,19,3,1,3,35,1263
101513,1,1,4,1,17,3,1,3,35,1263
101513,1,1,5,2,5,3,1,3,35,1263
101513,2,1,1,1,74,3,1,3,35,1263
101513,2,1,2,2,58,3,1,3,35,1263
101513,2,1,3,1,22,3,1,3,35,1263
101513,3,1,1,2,63,3,1,3,35,1263
101513,4,1,1,2,56,3,1,3,35,1263
101513,4,1,2,2,22,3,1,3,35,1263
101513,5,1,1,2,44,3,1,3,35,1263
101513,5,1,2,2,45,3,1,3,35,1263
101602,1,1,1,1,34,3,1,5,36,1510
101602,1,1,2,2,27,3,1,5,36,1510
101602,2,1,1,1,47,3,1,5,36,1510
101602,2,1,2,2,41,3,1,5,36,1510
101602,2,1,3,2,21,3,1,5,36,1510
101602,3,1,1,1,61,3,1,5,36,1510
101602,3,1,2,2,53,3,1,5,36,1510
101602,4,1,1,1,38,3,1,5,36,1510
101602,4,1,2,2,35,3,1,5,36,1510
101602,4,1,3,2,14,3,1,5,36,1510
101602,4,1,4,1,2,3,1,5,36,1510
101602,5,1,1,1,48,3,1,5,36,1510
101602,5,1,2,2,47,3,1,5,36,1510
101602,5,1,3,2,22,3,1,5,36,1510
101602,5,1,4,2,18,3,1,5,36,1510
101602,5,1,5,1,15,3,1,5,36,1510
101644,1,1,1,2,54,3,1,3,37,1019
101644,1,1,2,2,33,3,1,3,37,1019
101644,1,1,3,2,29,3,1,3,37,1019
101644,1,1,4,2,11,3,1,3,37,1019
101644,1,1,5,1,9,3,1,3,37,1019
101644,1,1,6,2,7,3,1,3,37,1019
101644,1,1,7,1,4,3,1,3,37,1019
101644,2,1,1,1,37,3,1,3,37,1019
101644,2,1,2,2,40,3,1,3,37,1019
101644,2,1,3,2,17,3,1,3,37,1019
101644,2,1,4,2,15,3,1,3,37,1019
101644,2,1,5,1,1,3,1,3,37,1019
101644,3,1,1,2,45,3,1,3,37,1019
101644,3,1,2,2,22,3,1,3,37,1019
101644,3,1,3,2,25,3,1,3,37,1019
101644,3,1,4,1,11,3,1,3,37,1019
101644,3,1,5,1,10,3,1,3,37,1019
101644,3,1,6,2,6,3,1,3,37,1019
101644,4,1,1,1,24,3,1,3,37,1019
101644,5,1,1,1,22,3,1,3,37,1019
101644,5,1,2,2,19,3,1,3,37,1019
101644,5,1,3,2,3,3,1,3,37,1019
101644,5,1,4,2,0,3,1,3,37,1019
101779,1,1,1,2,58,3,1,3,38,950
101779,2,1,1,1,51,3,1,3,38,950
101779,2,1,2,2,50,3,1,3,38,950
101779,2,1,3,2,23,3,1,3,38,950
101779,2,1,4,2,21,3,1,3,38,950
101779,2,1,5,2,16,3,1,3,38,950
101779,3,1,1,1,38,3,1,3,38,950
101779,4,1,1,1,48,3,1,3,38,950
101779,4,1,2,2,29,3,1,3,38,950
