"VIV_SEL","HOGAR","P3_2","P3_5","P4_1","P4_5","P5_1_3","P5_1_4","P5_1_6","P5_1_5","P5_1_1","P5_1_2","P6_1_4","P6_1_3","P6_1_1","P6_1_2","P6_1_5","P9_1","P10_1","P11_3_1","P11_3_2","P11_3_4","P14_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","FOLIO","FAC_ELE","GRA","NIV","P10_4","N_REN","P3_11","P5_23","P6_2_2","P6_17","P8_1","P10_7","P11_3_9","P14_2_3","P14_2_2","P14_2_1","P14_2_4","EDICION","REGION"
16,1,5,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,65,12,28,3420787,4994,6,2,2,2,2,2,2,3,2,2,1,2,2,1,2,1,
15,1,5,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,4,1,29,12,28,3420787,9988,3,3,2,1,1,2,2,3,2,2,1,2,2,1,2,1,
4,1,1,5,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,4,2,38,12,28,3420787,9988,6,2,2,2,2,2,2,3,2,2,1,2,2,1,2,1,
1,1,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,39,12,28,3420787,9988,6,2,2,2,2,2,2,3,2,2,1,2,2,2,2,1,
2,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,4,1,28,12,28,3420787,9988,5,2,2,1,1,1,2,3,2,2,2,2,2,2,2,1,
20,1,5,5,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,3,4,2,28,12,28,3420787,9988,6,2,2,2,1,1,2,3,2,2,2,2,2,1,2,1,
5,1,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,4,2,36,12,28,3420787,9988,6,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,
8,1,6,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,4,1,22,12,28,3420787,24970,3,3,1,5,1,2,2,2,2,2,2,2,2,2,2,1,
9,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,4,1,65,12,28,3420787,9988,6,2,1,1,2,2,2,3,2,2,1,2,1,2,1,1,
11,1,1,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,37,12,28,3420787,29964,6,2,2,3,1,2,2,3,2,2,1,2,2,2,2,1,
9,1,5,5,1,1,2,2,2,2,2,2,2,2,2,2,2,9,1,1,2,2,1,2,2,43,5,25,3362828,15447,2,6,1,2,2,1,2,3,2,1,2,2,2,1,2,1,
6,1,6,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,22,5,25,3362828,15447,4,8,2,2,1,2,2,3,2,2,2,2,2,2,2,1,
13,1,5,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,48,5,25,3362828,15447,1,6,2,1,1,2,2,2,2,2,1,1,1,1,2,1,
15,1,5,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,62,5,25,3362828,15447,3,3,1,1,1,2,2,1,2,2,1,2,1,2,2,1,
17,1,5,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,53,5,25,3362828,46341,3,3,1,2,1,2,2,3,2,2,1,2,2,2,2,1,
8,1,5,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,35,5,25,3362828,5149,2,6,2,2,1,2,2,1,2,1,1,2,2,2,2,1,
8,2,5,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,41,5,25,3362828,5149,3,3,2,1,1,1,2,3,2,2,1,2,2,2,2,1,
7,1,6,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,23,5,25,3362828,15447,4,8,1,3,1,2,2,2,2,2,2,2,2,2,2,1,
12,1,5,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,51,5,25,3362828,36043,6,2,2,2,1,2,2,3,2,2,1,2,2,1,2,1,
